year,total,agriculture,non_agriculture,fisheries,mining,construction,manufacturing,infrastructure,transport_communication,retail,finance,service,others
1970,5094,842,4251,44,20,394,1377,28,324,1012,132,751,161
1971,5121,769,4354,46,19,414,1383,29,333,1035,145,775,167
1972,5126,706,4420,49,16,433,1383,29,327,1050,149,799,176
1973,5223,652,4571,47,13,463,1440,34,335,1077,156,817,178
1973,5259,658,4601,47,13,467,1443,34,337,1085,157,826,180
1974,5237,630,4606,45,14,464,1427,33,331,1097,163,830,192
1975,5223,618,4605,43,16,479,1346,32,332,1127,170,855,196
1976,5271,601,4670,42,18,492,1345,33,341,1151,173,876,190
1977,5342,589,4752,45,19,499,1340,31,341,1193,179,903,192
1978,5408,589,4819,44,15,520,1326,32,342,1210,180,943,197
1979,5479,568,4912,45,12,536,1333,33,349,1228,185,980,201
1980,5536,532,5004,45,11,548,1367,30,350,1248,191,1001,199
1981,5581,510,5071,47,10,544,1385,31,344,1274,200,1030,194
1982,5638,502,5136,46,10,541,1380,34,349,1296,206,1065,195
1983,5733,485,5247,46,10,541,1406,36,350,1313,213,1122,195
1984,5766,468,5299,44,8,527,1438,35,341,1319,216,1154,195
1985,5807,464,5343,45,9,530,1453,33,343,1318,217,1173,199
1986,5853,450,5403,45,8,534,1444,32,353,1339,225,1205,197
1987,5911,446,5465,43,8,533,1425,31,348,1366,234,1255,198
1988,6011,434,5576,40,7,560,1454,31,353,1389,236,1284,194
1989,6128,419,5709,44,7,578,1484,30,368,1400,243,1336,189
1990,6249,411,5839,40,6,588,1505,30,375,1415,259,1394,195
1991,6369,391,5977,36,6,604,1550,33,378,1433,263,1446,199
1992,6436,375,6061,36,6,619,1569,33,385,1436,262,1481,204
1993,6450,350,6100,33,6,640,1530,35,394,1448,260,1516,209
1994,6453,345,6108,28,6,655,1496,39,392,1443,262,1542,215
1995,6457,340,6116,27,6,663,1456,42,402,1449,262,1566,218
1996,6486,330,6155,26,6,670,1445,37,411,1463,256,1598,214
1997,6557,324,6232,26,7,685,1442,36,412,1475,253,1648,215
1998,6514,317,6197,26,6,662,1382,37,405,1483,257,1685,217
1999,6462,307,6155,28,6,657,1345,38,406,1483,251,1686,214
2000,6446,297,6150,29,5,653,1321,34,414,1474,248,1718,214
2001,6412,286,6126,27,5,632,1284,34,407,1473,240,1768,211
2002,6330,268,6063,28,5,618,1222,34,401,1438,241,1804,217
